report_date,purchase,redeem
20140901,383132799,230148959
20140902,357262438,259911823
20140903,394419372,270283307
20140904,390134283,254920640
20140905,331917654,267985287
20140906,247745925,167740002
20140907,266813514,202748688
20140908,428683423,281444833
20140909,423259412,299067162
20140910,419706975,332669272
20140911,415535118,316883024
20140912,343033315,298314023
20140913,280366378,179640019
20140914,300685922,201548009
20140915,431960405,328818359
20140916,438055071,339577060
20140917,420402480,349455486
20140918,417379513,330408335
20140919,327240025,300946226
20140920,276840821,186974484
20140921,301966742,232978363
20140922,419994568,366274609
20140923,429068786,335827342
20140924,424766277,355229543
20140925,414627936,344712079
20140926,340729469,361623958
20140927,279620975,185430826
20140928,276752391,244830783
20140929,438289876,366303821
20140930,311995155,310673584
